price,bedroom,hsize,lsize,location_bin
320.0,2.0,36.0,72.0,Kedungkandang
600.0,3.0,70.0,64.0,other
459.0,3.0,65.0,60.0,other
227.0,2.0,62.0,43.0,other
250.0,2.0,50.0,84.0,other
130.0,1.0,21.0,50.0,Blimbing
,2.0,30.0,60.0,Sukun
155.0,1.0,21.0,50.0,other
161.0,2.0,30.0,60.0,Sukun
450.0,2.0,50.0,78.0,other
350.0,2.0,36.0,60.0,other
250.0,2.0,36.0,60.0,other
170.0,2.0,27.0,60.0,other
,3.0,60.0,60.0,other
479.0,2.0,47.0,72.0,other
375.0,2.0,50.0,72.0,other
399.0,2.0,36.0,62.0,other
431.0,2.0,38.0,38.0,other
350.0,2.0,48.0,72.0,Kedungkandang
350.0,3.0,65.0,70.0,other
200.0,2.0,36.0,72.0,other
400.0,3.0,60.0,72.0,other
650.0,3.0,60.0,77.0,other
594.0,2.0,42.0,69.0,Lowokwaru
615.0,2.0,55.0,55.0,other
235.0,2.0,30.0,90.0,other
200.0,2.0,36.0,60.0,other
200.0,2.0,36.0,66.0,Lowokwaru
155.0,2.0,30.0,60.0,Sukun
276.0,2.0,36.0,60.0,other
385.0,2.0,45.0,68.0,other
225.0,2.0,36.0,50.0,other
169.0,2.0,30.0,60.0,other
350.0,2.0,38.0,60.0,other
650.0,3.0,200.0,86.0,other
375.0,3.0,56.0,73.0,Blimbing
249.0,2.0,38.0,66.0,Kedungkandang
395.0,3.0,45.0,50.0,Lowokwaru
599.5,2.0,60.0,72.0,other
2775.0,4.0,200.0,200.0,Kedungkandang
500.0,2.0,40.0,72.0,Lowokwaru
1510.0,3.0,100.0,115.0,other
500.0,2.0,45.0,83.0,other
146.0,2.0,30.0,60.0,other
250.0,2.0,38.0,66.0,other
815.0,3.0,129.0,167.0,other
225.0,2.0,62.0,43.0,other
475.0,2.0,60.0,96.0,Kedungkandang
174.0,2.0,28.0,60.0,Sukun
298.0,2.0,49.0,67.0,Sukun
601.0,2.0,45.0,83.0,other
530.0,2.0,45.0,72.0,other
279.0,2.0,36.0,66.0,other
300.0,2.0,55.0,90.0,Lowokwaru
350.0,2.0,36.0,57.0,other
499.0,3.0,70.0,72.0,other
265.0,2.0,36.0,74.0,other
300.0,2.0,55.0,90.0,other
675.0,2.0,68.0,70.0,other
1200.0,4.0,210.0,85.0,Blimbing
473.0,2.0,40.0,67.0,Sukun
1900.0,4.0,188.0,188.0,other
535.0,2.0,96.0,103.0,other
150.0,2.0,25.0,60.0,other
415.0,2.0,45.0,98.0,other
252.0,2.0,36.0,72.0,other
1994.0,4.0,100.0,205.0,other
765.0,3.0,62.0,83.0,other
1200.0,5.0,288.0,144.0,other
465.0,3.0,70.0,56.0,other
2600.0,4.0,150.0,260.0,Lowokwaru
395.0,3.0,60.0,70.0,Kedungkandang
530.0,2.0,48.0,60.0,Lowokwaru
1129.0,6.0,82.0,60.0,other
660.5,2.0,50.0,118.0,other
351.0,2.0,36.0,60.0,Sukun
190.0,2.0,30.0,60.0,other
899.0,2.0,57.0,55.0,other
1300.0,2.0,65.0,115.0,Klojen
575.0,3.0,63.0,62.0,other
279.0,2.0,36.0,66.0,other
300.0,2.0,60.0,25.0,other
450.0,2.0,46.0,63.0,Sukun
459.0,3.0,65.0,60.0,other
304.0,2.0,33.0,64.0,other
217.0,2.0,30.0,72.0,other
550.0,2.0,70.0,70.0,Lowokwaru
1900.0,4.0,200.0,279.0,Lowokwaru
335.0,2.0,40.0,65.0,Sukun
369.0,2.0,50.0,60.0,Kedungkandang
,2.0,85.0,85.0,Lowokwaru
299.0,2.0,48.0,66.0,Sukun
344.0,2.0,50.0,60.0,other
325.0,2.0,36.0,70.0,other
550.0,2.0,45.0,80.0,Lowokwaru
530.0,2.0,48.0,60.0,Lowokwaru
425.0,2.0,45.0,72.0,other
335.0,2.0,40.0,65.0,Sukun
499.0,3.0,65.0,65.0,other
2900.0,5.0,155.0,163.0,Lowokwaru
992.0,3.0,75.0,92.0,Blimbing
,2.0,45.0,45.0,other
1300.0,6.0,208.0,208.0,other
650.0,4.0,160.0,86.0,other
1100.0,4.0,180.0,91.0,other
250.0,2.0,36.0,60.0,other
599.0,3.0,57.0,66.0,other
800.0,3.0,70.0,87.0,Sukun
,3.0,135.0,135.0,Blimbing
1400.0,3.0,144.0,119.0,Blimbing
375.0,2.0,50.0,78.0,other
1350.0,4.0,129.0,160.0,other
330.0,2.0,38.0,60.0,other
4800.0,4.0,275.0,240.0,Blimbing
683.0,3.0,60.0,69.0,Lowokwaru
780.0,2.0,58.0,81.0,Lowokwaru
675.0,3.0,60.0,84.0,Lowokwaru
2500.0,4.0,200.0,257.0,Lowokwaru
380.0,2.0,40.0,60.0,other
345.0,2.0,50.0,60.0,Kedungkandang
375.0,2.0,40.0,90.0,other
375.0,2.0,40.0,90.0,other
840.0,2.0,60.0,63.0,other
3400.0,4.0,250.0,318.0,other
3200.0,3.0,200.0,190.0,other
950.0,2.0,65.0,84.0,other
635.0,2.0,67.0,98.0,other
1300.0,3.0,100.0,120.0,Blimbing
330.0,2.0,40.0,40.0,other
850.0,2.0,70.0,90.0,Blimbing
2300.0,3.0,150.0,218.0,other
425.0,2.0,36.0,60.0,other
1000.0,5.0,90.0,87.0,other
2900.0,4.0,200.0,210.0,other
2400.0,3.0,96.0,126.0,Lowokwaru
1180.0,4.0,114.0,97.0,Blimbing
3800.0,4.0,250.0,313.0,Sukun
950.0,4.0,105.0,87.0,Sukun
3500.0,5.0,250.0,300.0,other
435.0,2.0,48.0,60.0,other
335.0,2.0,40.0,90.0,Kedungkandang
1100.0,4.0,180.0,91.0,other
780.0,2.0,58.0,81.0,other
1350.0,3.0,120.0,120.0,Blimbing
399.5,2.0,45.0,60.0,Kedungkandang
6000.0,6.0,601.0,401.0,Lowokwaru
3000.0,5.0,200.0,210.0,Lowokwaru
1300.0,4.0,120.0,145.0,Kedungkandang
910.0,2.0,80.0,143.0,Sukun
675.0,2.0,45.0,85.0,other
2350.0,4.0,203.0,128.0,other
130.0,3.0,60.0,60.0,Lowokwaru
1100.0,2.0,100.0,120.0,Sukun
975.0,2.0,50.0,90.0,Blimbing
295.0,2.0,30.0,66.0,other
1600.0,4.0,120.0,120.0,other
1600.0,2.0,178.0,178.0,other
900.0,3.0,103.0,70.0,Lowokwaru
2200.0,4.0,120.0,184.0,other
579.5,2.0,45.0,98.0,other
,2.0,85.0,85.0,other
650.0,2.0,70.0,72.0,other
228.0,2.0,44.0,52.0,other
3450.0,4.0,200.0,320.0,other
600.0,3.0,180.0,140.0,other
950.0,4.0,175.0,175.0,other
431.0,2.0,38.0,72.0,Lowokwaru
1700.0,4.0,150.0,220.0,Lowokwaru
425.0,2.0,54.0,72.0,Sukun
1550.0,4.0,145.0,103.0,Lowokwaru
1750.0,3.0,89.0,105.0,other
4900.0,5.0,200.0,300.0,other
1750.0,4.0,135.0,126.0,other
1600.0,3.0,165.0,171.0,Lowokwaru
2600.0,6.0,350.0,233.0,other
1700.0,6.0,265.0,126.0,other
750.0,2.0,60.0,182.0,Sukun
399.0,3.0,57.0,75.0,Kedungkandang
2500.0,5.0,186.0,180.0,other
3500.0,4.0,124.0,322.0,other
1700.0,4.0,150.0,190.0,other
2500.0,6.0,260.0,162.0,other
1700.0,5.0,170.0,216.0,other
750.0,3.0,100.0,140.0,Sukun
650.0,2.0,48.0,200.0,other
2700.0,4.0,172.0,157.0,other
1600.0,3.0,180.0,187.0,other
400.0,3.0,65.0,60.0,other
920.0,3.0,75.0,84.0,Lowokwaru
2500.0,6.0,288.0,177.0,other
2200.0,5.0,200.0,315.0,Lowokwaru
1650.0,3.0,80.0,172.0,other
656.0,3.0,70.0,91.0,other
3600.0,5.0,300.0,262.0,other
2580.0,4.0,260.0,157.0,other
385.0,2.0,45.0,70.0,other
2400.0,2.0,245.0,139.0,Lowokwaru
2500.0,6.0,200.0,277.0,other
1100.0,2.0,100.0,120.0,Lowokwaru
525.0,2.0,45.0,92.0,other
1255.0,5.0,240.0,123.0,Lowokwaru
759.0,2.0,99.0,88.0,other
468.0,2.0,45.0,70.0,Lowokwaru
1900.0,6.0,250.0,365.0,Lowokwaru
2250.0,6.0,200.0,212.0,other
2500.0,3.0,179.0,160.0,other
450.0,2.0,80.0,65.0,other
300.0,2.0,40.0,84.0,Kedungkandang
3950.0,5.0,300.0,356.0,other
700.0,3.0,70.0,71.0,Blimbing
499.0,2.0,45.0,72.0,Lowokwaru
1500.0,4.0,90.0,121.0,other
3900.0,4.0,250.0,300.0,other
3500.0,5.0,400.0,300.0,other
1650.0,3.0,51.0,126.0,other
520.0,2.0,60.0,105.0,Lowokwaru
2750.0,3.0,240.0,244.0,other
2700.0,6.0,180.0,196.0,other
1775.0,4.0,150.0,108.0,other
2300.0,3.0,100.0,126.0,other
3450.0,3.0,250.0,340.0,other
514.0,3.0,54.0,72.0,Lowokwaru
1250.0,4.0,150.0,153.0,other
231.0,2.0,30.0,73.0,other
2600.0,4.0,260.0,157.0,Blimbing
700.0,2.0,60.0,135.0,other
2500.0,3.0,226.0,165.0,other
595.0,2.0,150.0,84.0,other
950.0,2.0,57.0,95.0,other
3550.0,4.0,200.0,253.0,Sukun
250.0,2.0,30.0,73.0,other
1700.0,5.0,370.0,370.0,other
7500.0,5.0,600.0,539.0,other
850.0,2.0,70.0,90.0,other
2500.0,4.0,200.0,316.0,other
404.0,2.0,48.0,75.0,Lowokwaru
2700.0,5.0,350.0,180.0,Lowokwaru
1250.0,2.0,80.0,107.0,other
1550.0,2.0,62.0,98.0,other
360.0,2.0,45.0,85.0,other
,,,,
1650.0,3.0,51.0,126.0,other
1800.0,4.0,150.0,160.0,Lowokwaru
5000.0,4.0,280.0,266.0,other
1650.0,5.0,171.0,197.0,other
2300.0,4.0,240.0,218.0,other
750.0,3.0,100.0,107.0,other
2650.0,4.0,160.0,219.0,other
1100.0,3.0,60.0,60.0,other
1675.0,6.0,270.0,135.0,other
2550.0,6.0,245.0,380.0,other
1650.0,4.0,166.0,144.0,other
1650.0,6.0,280.0,210.0,other
1550.0,5.0,250.0,174.0,Blimbing
3550.0,4.0,170.0,356.0,Blimbing
2800.0,3.0,230.0,280.0,other
499.0,2.0,50.0,60.0,other
2500.0,4.0,250.0,300.0,Lowokwaru
950.0,3.0,70.0,91.0,Lowokwaru
2500.0,5.0,300.0,239.0,Blimbing
1750.0,4.0,350.0,180.0,other
2700.0,6.0,250.0,300.0,Kedungkandang
1350.0,4.0,129.0,200.0,Blimbing
1650.0,5.0,170.0,193.0,other
2700.0,4.0,140.0,135.0,Blimbing
2300.0,5.0,160.0,120.0,other
2500.0,4.0,174.0,140.0,Kedungkandang
2450.0,6.0,200.0,126.0,other
1550.0,3.0,60.0,144.0,other
2695.51,3.0,160.0,179.0,Sukun
499.0,3.0,65.0,60.0,other
1695.0,4.0,170.0,240.0,other
1700.0,5.0,300.0,260.0,other
2450.0,4.0,240.0,126.0,other
3900.0,5.0,300.0,251.0,Lowokwaru
2500.0,3.0,120.0,138.0,other
750.0,3.0,80.0,105.0,other
690.0,3.0,65.0,93.0,Blimbing
800.0,2.0,316.0,316.0,other
575.0,3.0,140.0,86.0,Kedungkandang
1500.0,6.0,280.0,314.0,other
3700.0,5.0,630.0,230.0,other
1695.0,4.0,150.0,200.0,other
2500.0,4.0,150.0,200.0,other
2250.0,3.0,120.0,250.0,other
185.0,2.0,36.0,72.0,other
800.0,4.0,200.0,100.0,other
2400.0,3.0,167.0,240.0,other
2450.0,3.0,300.0,200.0,other
450.0,2.0,40.0,75.0,Lowokwaru
1600.0,3.0,133.0,205.0,other
277.000765,2.0,30.0,65.0,other
1650.0,4.0,254.0,247.0,other
2250.0,5.0,220.0,181.0,other
2674.0,3.0,172.0,200.0,other
525.0,2.0,38.0,72.0,Lowokwaru
1250.0,2.0,45.0,131.0,other
450.0,2.0,50.0,60.0,other
331.0,2.0,36.0,72.0,Lowokwaru
2600.0,3.0,260.0,200.0,Blimbing
750.0,3.0,63.0,97.0,Blimbing
1800.0,5.0,250.0,180.0,Lowokwaru
1700.0,3.0,189.0,197.0,Blimbing
3500.0,6.0,275.0,240.0,Blimbing
495.0,2.0,45.0,96.0,other
3300.0,5.0,600.0,300.0,other
1700.0,4.0,180.0,286.0,Lowokwaru
550.0,3.0,80.0,65.0,Lowokwaru
930.0,3.0,150.0,84.0,Lowokwaru
1500.0,3.0,100.0,165.0,Blimbing
1300.0,3.0,140.0,172.0,Blimbing
450.0,2.0,40.0,75.0,Lowokwaru
1785.0,5.0,240.0,291.0,other
899.0,3.0,150.0,80.0,Blimbing
6000.0,5.0,211.0,342.0,Blimbing
800.0,3.0,50.0,93.0,other
4000.0,6.0,250.0,553.0,other
1700.0,3.0,160.0,160.0,Lowokwaru
1650.0,3.0,95.0,177.0,Blimbing
1200.0,5.0,130.0,90.0,Sukun
1250.0,5.0,180.0,138.0,other
1250.0,2.0,45.0,131.0,other
325.0,2.0,80.0,80.0,other
680.0,2.0,42.0,105.0,Blimbing
1750.0,4.0,124.0,180.0,other
2500.0,5.0,360.0,314.0,other
700.0,2.0,65.0,120.0,Lowokwaru
1425.0,3.0,92.0,138.0,other
6000.0,4.0,450.0,370.0,Blimbing
1770.0,3.0,150.0,190.0,Sukun
650.0,3.0,90.0,114.0,other
1300.0,4.0,175.0,84.0,other
900.0,2.0,60.0,77.0,other
1700.0,3.0,140.0,108.0,other
2900.0,5.0,220.0,265.0,Sukun
1500.0,3.0,120.0,132.0,other
5750.0,6.0,660.0,460.0,other
2450.0,3.0,225.0,154.0,other
1700.0,5.0,90.0,112.0,Lowokwaru
1350.0,2.0,172.0,92.0,Sukun
2750.0,3.0,230.0,162.0,other
6500.0,5.0,600.0,417.0,other
900.0,4.0,170.0,108.0,other
2300.0,4.0,275.0,216.0,other
650.0,2.0,141.0,86.0,other
2000.0,5.0,180.0,197.0,Klojen
2550.0,6.0,385.0,245.0,Lowokwaru
5500.0,4.0,300.0,601.0,other
1900.0,3.0,150.0,189.0,other
2400.0,3.0,110.0,135.0,other
530.0,2.0,40.0,73.0,other
1250.0,3.0,96.0,150.0,other
919.0,3.0,72.0,84.0,other
950.0,3.0,140.0,70.0,Klojen
2250.0,3.0,100.0,144.0,other
2100.0,3.0,190.0,190.0,other
375.0,2.0,56.0,72.0,other
1200.0,2.0,1.0,142.0,other
2650.0,4.0,250.0,221.0,Lowokwaru
525.0,3.0,100.0,89.0,Blimbing
460.0,3.0,54.0,78.0,other
641.0,3.0,65.0,71.0,Blimbing
800.0,3.0,72.0,82.0,other
2300.0,3.0,150.0,174.0,Lowokwaru
1700.0,5.0,210.0,120.0,Blimbing
930.0,3.0,80.0,111.0,other
2500.0,6.0,198.0,234.0,other
3350.0,3.0,200.0,404.0,other
530.0,2.0,40.0,73.0,other
625.0,3.0,69.0,60.0,other
975.0,3.0,95.0,102.0,other
1400.0,4.0,200.0,252.0,Lowokwaru
3418.0,4.0,167.0,241.0,other
2700.0,2.0,150.0,344.0,Lowokwaru
279.0,2.0,38.0,66.0,other
465.0,3.0,63.0,72.0,Lowokwaru
265.0,2.0,36.0,60.0,Lowokwaru
3350.0,3.0,226.0,200.0,other
1500.0,3.0,180.0,152.0,other
499.0,2.0,38.0,63.0,other
8000.0,4.0,400.0,450.0,other
2400.0,3.0,170.0,201.0,other
2750.0,4.0,200.0,360.0,Lowokwaru
1250.0,5.0,210.0,175.0,Sukun
850.0,2.0,79.0,134.0,other
600.0,2.0,125.0,125.0,other
3200.0,5.0,350.0,266.0,Lowokwaru
850.0,5.0,100.0,164.0,other
1200.0,2.0,80.0,117.0,Klojen
1250.0,3.0,60.0,137.0,Blimbing
475.0,2.0,40.0,60.0,Blimbing
850.0,3.0,65.0,108.0,other
5600.0,4.0,330.0,330.0,Lowokwaru
1500.0,5.0,250.0,186.0,Sukun
452.0,2.0,50.0,61.0,other
4825.0,4.0,350.0,386.0,Lowokwaru
3500.0,5.0,200.0,244.0,Lowokwaru
2750.0,3.0,220.0,320.0,Lowokwaru
2500.0,4.0,275.0,216.0,Blimbing
1600.0,3.0,193.0,193.0,Lowokwaru
450.0,2.0,120.0,60.0,Lowokwaru
1300.0,4.0,152.0,152.0,other
1800.0,6.0,260.0,177.0,Sukun
675.0,3.0,60.0,81.0,other
950.0,3.0,70.0,80.0,Blimbing
585.0,2.0,50.0,84.0,Blimbing
2250.0,3.0,155.0,240.0,Blimbing
900.0,2.0,98.0,90.0,other
1500.0,3.0,178.0,178.0,Lowokwaru
2800.0,3.0,170.0,250.0,Blimbing
1800.0,5.0,195.0,200.0,Klojen
2890.0,5.0,395.0,434.0,other
511.0,2.0,55.0,71.0,other
1450.0,5.0,140.0,125.0,Blimbing
635.0,2.0,45.0,98.0,Blimbing
550.0,3.0,85.0,85.0,other
1600.0,5.0,250.0,171.0,Blimbing
1350.0,4.0,200.0,200.0,other
675.0,6.0,130.0,68.0,Lowokwaru
1750.0,3.0,198.0,234.0,Lowokwaru
975.0,3.0,76.0,97.0,Lowokwaru
2500.0,2.0,100.0,200.0,other
1400.0,3.0,110.0,125.0,Lowokwaru
700.0,3.0,70.0,71.0,Blimbing
650.0,3.0,72.0,90.0,Sukun
675.0,3.0,110.0,84.0,other
1250.0,3.0,135.0,135.0,Lowokwaru
1500.0,3.0,100.0,375.0,Sukun
1700.0,2.0,120.0,100.0,other
450.0,2.0,38.0,89.0,other
2750.0,2.0,120.0,144.0,other
575.0,2.0,91.0,91.0,other
850.0,2.0,45.0,84.0,Sukun
3400.0,4.0,400.0,350.0,Lowokwaru
650.0,3.0,196.0,196.0,other
2550.0,5.0,250.0,240.0,Lowokwaru
325.0,2.0,36.0,60.0,other
1700.0,3.0,200.0,100.0,Klojen
1800.0,4.0,180.0,110.0,Lowokwaru
650.0,3.0,96.0,96.0,Lowokwaru
1300.0,5.0,120.0,152.0,Lowokwaru
700.0,2.0,55.0,103.0,other
687.344,2.0,36.0,91.0,Blimbing
4300.0,5.0,375.0,312.0,other
700.0,2.0,70.0,91.0,Blimbing
2600.0,3.0,180.0,200.0,other
225.0,2.0,36.0,74.0,other
453.6675,2.0,55.0,55.0,Sukun
1550.0,4.0,145.0,180.0,Lowokwaru
1700.0,3.0,145.0,126.0,Blimbing
1400.0,3.0,86.0,86.0,Blimbing
1400.0,4.0,136.0,137.0,other
277.000011,2.0,30.0,64.0,Sukun
1100.0,3.0,159.0,126.0,Lowokwaru
7500.0,6.0,700.0,600.0,Blimbing
550.0,2.0,60.0,112.0,Blimbing
975.0,3.0,130.0,140.0,Lowokwaru
900.0,4.0,68.0,121.0,Lowokwaru
465.0,2.0,57.0,55.0,other
2500.0,5.0,299.0,263.0,Lowokwaru
700.0,3.0,200.0,239.0,other
875.0,3.0,72.0,81.0,Blimbing
550.0,4.0,100.0,126.0,other
1150.0,2.0,60.0,91.0,other
1900.0,3.0,110.0,200.0,other
2250.0,3.0,400.0,200.0,Lowokwaru
550.0,2.0,100.0,140.0,Blimbing
1700.0,5.0,105.0,117.0,Lowokwaru
900.0,3.0,100.0,91.0,Kedungkandang
585.0,2.0,70.0,78.0,Lowokwaru
299.0,2.0,36.0,72.0,other
335.0,2.0,31.0,60.0,Lowokwaru
599.0,3.0,65.0,72.0,other
650.0,2.0,40.0,72.0,other
350.0,2.0,40.0,40.0,other
6000.0,6.0,250.0,481.0,Lowokwaru
1500.0,5.0,225.0,250.0,other
1700.0,5.0,160.0,132.0,Blimbing
499.0,3.0,60.0,72.0,other
1470.0,3.0,170.0,198.0,Blimbing
900.0,3.0,90.0,117.0,Blimbing
538.0,2.0,50.0,80.0,other
1000.0,2.0,100.0,140.0,other
525.0,3.0,60.0,105.0,Lowokwaru
295.0,2.0,40.0,69.0,Kedungkandang
399.0,2.0,36.0,72.0,other
1700.0,2.0,181.0,200.0,other
2700.0,3.0,140.0,135.0,Lowokwaru
1450.0,4.0,90.0,121.0,Lowokwaru
1600.0,5.0,111.0,180.0,Sukun
700.0,3.0,200.0,110.0,other
1700.0,5.0,320.0,274.0,Blimbing
450.0,2.0,60.0,89.0,Lowokwaru
2800.0,5.0,290.0,200.0,Blimbing
670.0,2.0,55.0,60.0,Blimbing
1700.0,3.0,86.0,96.0,other
465.0,2.0,56.0,72.0,other
850.0,3.0,70.0,60.0,Lowokwaru
1000.0,2.0,60.0,58.0,Blimbing
1400.0,3.0,70.0,126.0,Lowokwaru
725.0,3.0,65.0,96.0,Lowokwaru
2500.0,5.0,275.0,225.0,other
1500.0,5.0,130.0,152.0,Sukun
650.0,3.0,70.0,105.0,Lowokwaru
3650.0,4.0,600.0,380.0,other
671.0,3.0,57.0,66.0,other
1700.0,2.0,80.0,112.0,Blimbing
550.0,2.0,60.0,112.0,Blimbing
3500.0,2.0,150.0,454.0,Lowokwaru
4700.0,3.0,300.0,343.0,Sukun
678.0,2.0,60.0,70.0,Sukun
825.0,3.0,100.0,91.0,Klojen
298.0,2.0,30.0,60.0,Sukun
2500.0,3.0,170.0,225.0,Blimbing
525.0,2.0,54.0,86.0,Blimbing
667.0,3.0,90.0,90.0,Sukun
335.8,2.0,50.0,80.0,other
1250.0,3.0,71.0,101.0,other
1500.0,3.0,180.0,210.0,Lowokwaru
850.0,3.0,96.0,175.0,other
700.0,3.0,80.0,97.0,Klojen
680.0,2.0,46.0,81.0,Blimbing
685.0,3.0,100.0,89.0,other
624.666,2.0,54.0,80.0,other
2500.0,3.0,108.0,264.0,Sukun
700.0,3.0,100.0,60.0,Lowokwaru
6000.0,5.0,300.0,390.0,Lowokwaru
